EC-OA,EC-AZFc,EC-INOA_B,EC-KS,EC_INOA_S
,ZBBX,TCIM,SPATA6,GBP1
,C17orf64,CTNND1,SH3BGRL3,SERP2
,CSRNP1,HYAL2,ACTL9,STARD10
,CA4,GNG12,C9orf153,PLS3
,PABPC3,POLR1D,OTUB2,NFKBIB
,TIMP2,RAB34,DNAJB1,ARHGAP18
,LRRC27,ARHGAP28,DAB1-AS1,SETD9
,PDLIM1,OSTC,GSTP1,MKL2
,RAB3IP,VPS25,PFN1,RANGAP1
,PALMD,SCAMP2,C5orf49,WWTR1
,FBXO7,RNF216,FAM71C,MFF
,45726,ANAPC16,C9orf43,PPP1R1C
,LOXHD1,SSR2,ASRGL1,APOD
,HSPA4L,PEF1,PLCB4,CRIP2
,FABP5,GMPR2,ROBO4,NR1D2
,SERPINH1,SEPT7P9,PMS1,MKRN2
,MCRIP1,ODC1,ANKRD7,AC109326.1
,FHAD1,GKAP1,TRIR,UBE2N
,TXN,SPG21,IGFBP4,KIAA1257
,ZNF124,HLA-DRB1,IGFBP5,CCND1
,LINC00226,SF3B4,PKN1,KDM4D
,PPP3R2,CD47,LY6E,ARL15
,DDX20,IGF2-2,EIF4B,GAS6
,SEM1,IQCF3,AC008114.1,EPHX1
,RETREG1,CFAP97D1,ISYNA1,MTFR1
,PSME1,CST13P,LINC00710,FAM110D
,CR381670.1,GSTM3,C20orf85,CKS2
,SPINK2,LRRFIP1,MEIOC,HLA-E
,HIP1,ARF1,CCDC7,ACTB
