Immue-OA,Immue-AZFc,Immue-INOA_B,Immue-KS,Immue-INOA_S
LMNA,DIRC3,ECH1,ZFAS1,SNHG5
LYZ,PSMA4,MFF,HLA-DPA1,AIF1
CHMP1B,SPATA42,CTSL,DNAJC13,PKM
LRRFIP2,LAMTOR2,VPS26A,ID2,CPEB1
KCTD18,REEP1,MYL12B,DPYD,PTTG1IP
NTAN1,SYNE2,NAGK,SIRPB1,DYNLL1
FAM20B,ATP1B1,LINC00919,XAF1,MYO5A
FCER1G,PRPF40A,RPN1,FLT3,BLVRA
RANGRF,GLRX,SLC11A1,IFI44,MT-RNR1
CTSZ,SUN2,VAMP3,MYADM,TEX15
BBS4,ROCK1,LCP2,ITM2B,DKKL1
AL662789.1,ARRB2,SH3BGRL3,TSPYL2,STK31
AC104971.2,LAPTM4A,CD33,RAB7A,LGALS3
GPRC5B,MYLK,CXCR4,BHLHE40,RACK1
TTC28,PSMA7,GLUL,DUSP5,GLUL
AMN1,CCDC27,FCGR3A,CD3E,SMAP2
LINC01676,AC138207.5,CCNDBP1,FPR3,ABCA1
IFNGR1,MFSD1,FAU,ATXN2L,CFL1
MALAT1,CSMD2-AS1,M6PR,45901,TSPAN1
AC008114.1,PTN,GPN3,JPX,FAM209A
FAM160B2,PPP1R14A,CORO1A,GNAI3,LDHA
GPN2,FCGR3A,FOXN2,REX1BD,AP2S1
CLP1,TALDO1,PDXK,CCT2,CYFIP1
IMPDH1,IFNAR1,NAGA,NT5C,RIN2
RAD51AP2,OAZ3,HIGD2A,PHLDA1,SPANXN5
ACSM5,AC115223.1,FCGR1A,CD86,C17orf98
RGMB-AS1,RAC1P2,GNAI3,TUBB4B,FANCD2OS
LAMTOR5-AS1,MAF,SULT1A1,VPS26A,MYT1L
PANX1,ARPC5,AP3B1,SH2D4A,FMR1NB
PLEKHG5,P2RX4,KPNA2,IL2RG,AL136988.2
ANKRD42,CEP170P1,PGM2,RBPJ,PAGE2
TRMT12,TNFAIP8L2,SKAP2,BACH1,ARMC3
PLXDC1,MAP1B,FCGR2C,ADAM9,ZNF683
CLEC4G,HAVCR2,PCBP2,OST4,CST13P
PET117,IGSF6,MBD4,EIF4A3,DMRTC2
HLA-B,TCEAL5,ARF4,NPM1,SH3GL3
KIF18A,FCGR1A,TOMM7,DSTN,KLHL10
WDFY3-AS2,CHMP1B,NCSTN,FAM229B,GAGE12H
DLGAP5,DOCK11,IDH3G,SYK,MIR7515HG
ZNF317,CASP3,RAB1A,PPP1R14A,TEX43
HSPA6,AL133371.1,FAM49B,SLFN12,LINC02024
ARHGAP24,SERPINB1,NAA20,TRA2B,AC123912.2
RASA3,RAB1B,CREG1,P2RY14,SPATA3-AS1
CALCOCO1,PKM,COMMD8,TMEM179B,AL513327.2
IGFBP4,TMOD3,PEPD,MT-TY,LINC01304
SNAPC1,HSPA5,CTSZ,GZMM,BANF2
NR1H2,JPX,MYO5A,DLK1,UBQLNL
PPM1F,MGAT2,C1orf43,RGL1,LINC00927
AFG1L,PLP2,CYTIP,RGCC,CCER1
HSP90AB1,GRB2,PRKAG1,HADHA,LINC00226
GLMP,CERS2,NCOA4,CERKL,IQCF2
,SULT1B1,SLC25A11,LPAR6,45912
,AP2S1,SH3RF2,GZMK,FAM71C
,PEG3,POLR2E,SNX10,USP2-AS1
,TANK,CD300A,CXCR4,AL035078.1
,CORO1A,FLT3,FTLP3,DCAF4L2
,UTS2,SEC13,LIPA,MACROD2-AS1
,ACAT2,PRNP,RF00003-12,C4orf45
,SPTY2D1OS,SF3A1,IDH1,C9orf24
,FBXL5,ACP1,CCDC196,ROCK1
,CHODL,RSU1,MAN1A1,SRSF5
,MARCKSL1,TSC22D3,MT2A,CABYR
,INHA,HMOX1,ROCK1,SYCP1
,CTSB,PSMA4,RNASET2,MORN2
,GSTO1,XRCC5,HIST1H2AA,YWHAZ
,FXYD6,NINJ1,RAB1B,HMGB2
,ZCCHC6,FUCA1,ARAP1,EMP3
,TNFAIP8,AP2S1,CTNNA1,CADM1
,USP15,FCGR1CP,NARS,CD69
,CAP1,HIGD1A,GLIPR1,SORL1
,OLFML2B,IFNGR2,IRAK3,LAMTOR1
,CYBA,DEGS1,GPR82,BCL2A1
,BTG1,AKR1A1,PSMA7,IGLC2
,C7,SPATA6,USP15,LMNA
,DCUN1D1,ATP5F1A,TAGAP,HOOK1
,HIST1H3A,GPX3,OLFML2B,APBB1IP
,MSI2,DNAJC3,SIGLEC14,ZPBP
,ZNF711,PSMC2,HES1,UTS2
,TNFAIP2,NPL,HSP90AB1,AL157756.1
,KYNU,SERPINB6,RARRES3,AQP5
,FAM81B,RBP7,CD84,ATP6V0E1
,CDK4,SELENOT,GCNT1,VCAN
,CST9L,LSM4,NHP2,MT-ATP8
,AL049840.1,SHTN1,LINC00919,CSF1R
,NUPR2,COA6,FSCN3,HSPA1A
,HK1,HERPUD1,VPS13C,CCDC141
,GMFG,ATP5F1C,HNRNPC,RBP7
,C20orf27,PPA2,CDK4,RAC1
,FCHO2,C5AR1,MIF,GSTO1
,COX6B1,RNASE1,CST7,HSPA5
,DNAJC3,RNF44,FNDC3A,FAM209B
,TOMM22,COX7A2L,CALM1,PDIA6
,HES1,LIMK1,KLRB1,LAIR1
,CKB,LRPAP1,RF00012-44,ZBTB20-AS1
,POGLUT1,JTB,AC005912.1,SLC1A3
,PLAC9,GRB2,TRIM36,TNFAIP8L2
,DDX21,FILIP1L,VIM,SPTLC2
,MS4A14,URM1,PTMS,LYZ
,PTPN2,ANXA4,ICAM3,ANXA1
,ACO2,JPT1,SDR39U1,CLTA
,SLC7A7,UBE2D2,METTL26,TIMD4
,TMX4,UBE2D3,ACAA1,PTGER4
,COMMD6,ATRAID,ICAM1,EPS8
,ENPP5,UGP2,HNRNPD,CD53
,MLF1,SPACA3,TYROBP,MAEL
,ZNF468,SWI5,P4HB,USP2
,NR4A1,INSL3,PRPF40A,MYL12A
,FABP5,ATP6AP1,DIRC3,CALR
